Room Started From,Trial No.,State (Direction to which we face after enrollment),Query 1,Query 2,Query 3,Query 4
Alpha,1,NW,1,1,1,0
Alpha,2,NE,1,1,1,0
Alpha,3,SW,0,1,1,0
Alpha,4,SE,1,1,1,1
Alpha,5,NE,1,1,1,0
Alpha,6,NW,0,1,1,0
Alpha,7,NE,0,1,1,0
Alpha,8,SE,1,1,1,0
Room Started From,Trial No.,State (Direction to which we face after enrollment),Query 1,Query 2,Query 3,Query 4
Beta,1,SW,0,1,1,0
Beta,2,NW,1,1,1,0
Beta,3,NE,1,1,1,0
Beta,4,SE,0,1,1,1
Beta,5,NE,1,1,1,0
Beta,6,SW,0,1,1,1
Beta,7,NE,1,1,1,0
Beta,8,SE,1,0,1,1
Room Started From,Trial No.,State (Direction to which we face after enrollment),Query 1,Query 2,Query 3,Query 4
Charlie,1,NW,0,1,1,0
Charlie,2,NE,1,1,1,1
Charlie,3,SW,0,1,1,1
Charlie,4,SE,1,1,1,0
Charlie,5,SW,1,1,1,1
Charlie,6,NW,1,0,1,0
Charlie,7,NE,0,1,1,0
Charlie,8,SE,1,1,1,1
Room Started From,Trial No.,State (Direction to which we face after enrollment),Query 1,Query 2,Query 3,Query 4
Delta,1,SW,0,1,1,0
Delta,2,SE,0,1,1,0
Delta,3,NE,1,1,1,0
Delta,4,NW,1,1,1,1
Delta,5,NW,1,1,1,0
Delta,6,SE,1,1,1,0
Delta,7,NE,1,1,1,0
Delta,8,SE,1,1,1,1
Room Started From,Trial No.,State (Direction to which we face after enrollment),Query 1,Query 2,Query 3,Query 4
Echo,1,SE,1,1,1,1
Echo,2,NW,1,1,1,0
Echo,3,NE,1,1,1,1
Echo,4,SW,0,0,1,1
Echo,5,SE,0,1,1,1
Echo,6,SE,1,1,1,1
Echo,7,NE,1,1,1,1
Echo,8,SE,1,1,1,1
